"";"eRemoved";"nRemoved"
"20691";331663;389479
"20692";331300;388000
"20698";332590;389440
"20701";334480;383800
"20729";330958;390519
"20733";333821;383433
"20741";331745;389490
"20742";331349;387692
"20746";331744;389489
"20747";332439;387920
"20754";331400;389700
"20761";484709;442163
"20771";507002;447382
"20772";496683;425010
"20773";472754;423519
"20777";531076;421675
"20780";497400;425340
"20790";490807;436695
"20795";472620;435210
"20796";480200;447200
"20837";518000;430300
"20878";472100;443300
"20880";512006;444302
"20885";501200;426300
"20937";517000;467900
"20942";522235;471090
"20944";517640;468050
"20947";513067;446516
"20949";469722;420384
"20951";475200;454000
"21016";511546;446940
"21022";514200;467900
"21034";495397;433578
"21037";512957;446727
"21038";513246;446851
"21041";505507;434166
"21042";483010;435405
"21052";515800;465100
"21053";498700;456500
"21060";449600;447000
"21077";476210;442880
"21088";487946;432729
"21089";483092;435433
"21093";496500;424800
"21101";505343;439665
"21105";511171;459715
"21110";480694;436902
"21133";505000;440150
"21135";472200;435200
"21157";488140;432140
"21162";479300;448500
"21174";488150;432130
"21208";530800;423300
"21290";501230;431210
"21311";460100;420800
"21328";474430;432710
"21330";483990;437920
"21331";476648;432535
"21349";473300;425300
"21352";483400;439400
"21365";513200;446500
"21374";473824;422465
"21399";484010;437660
"21400";493600;427100
"21410";484000;439810
"21413";516760;429180
"21414";514510;464460
"21425";471900;424500
"21460";515100;464800
"21494";505900;439600
"21535";519600;448600
"21576";483900;439600
"21617";482316;447221
"21658";533500;427900
"21699";501208;457019
"21740";510018;431698
"21757";510128;430901
"21779";514568;428602
"21787";513929;428956
"21788";509400;431400
"21811";510640;432400
"21852";509500;430500
"21864";509892;430524
"21869";510934;429951
"21874";510400;430450
"21894";510000;430500
"21912";506917;427469
"21914";510200;431620
"21934";510400;431600
"21957";508970;428037
"21965";507900;427700
"21991";509944;430064
"22017";507500;427400
"22019";509690;429752
"22020";510461;430452
"22060";506555;427196
"22065";510100;429900
"22076";509670;430370
"22087";510136;429680
"22089";509985;429626
"22104";496850;425520
"22185";509900;431640
"22202";509700;429800
"22204";509900;429900
"22212";510200;429600
"22216";511800;429500
"22289";513500;429700
"22328";509116;430284
"22330";506200;426800
"22371";509935;429816
"22377";510500;430300
"22397";509971;431616
"22402";509979;430146
"22407";520929;414512
"22409";518781;416553
"22412";520829;413873
"22463";518700;415460
"22489";522837;413819
"22497";520740;414230
"22505";518800;416000
"22510";527300;409200
"22517";524843;410264
"22520";519400;416600
"22521";524800;411300
"22552";525900;410800
"22571";519480;416130
"22581";520500;416000
"22587";525903;411012
"22612";520400;414800
"22630";527300;410300
"22631";527500;409900
"22642";522000;413800
"22645";525200;410800
"22661";525800;410800
"22701";528790;410700
"22725";491150;374580
"22744";527665;411228
"22745";490577;410308
"22749";484900;412800
"22754";475966;408196
"22762";495102;401715
"22764";484950;412728
"22777";492600;408800
"22780";507350;411300
"22782";508390;411140
"22786";491440;412550
"22787";490720;416460
"22791";488672;413369
"22860";487600;407161
"22862";502500;415600
"22866";491050;413050
"22868";491059;412233
"22893";489190;413869
"22898";490797;410458
"22902";507766;412997
"22903";490545;410698
"22904";477745;411146
"22908";489954;411967
"22912";475802;408061
"22913";489480;412904
"22919";500300;415300
"22927";504100;413400
"22931";494163;402690
"22932";490600;416500
"22934";501500;422800
"22955";509300;420000
"22976";497100;408800
"22997";506700;410200
"23018";494200;398800
"23039";493200;419500
"23060";478213;405345
"23081";490591;410701
"23104";479910;409190
"23105";492820;411850
"23110";490133;412208
"23133";490620;410559
"23163";494972;401006
"23171";476183;408156
"23179";491300;420300
"23184";494394;401483
"23185";476189;408180
"23224";492200;409200
"23225";490202;411390
"23227";490324;412143
"23230";490135;412207
"23246";518574;408539
"23254";487581;406803
"23261";399351;454217
"23262";402900;453768
"23275";381500;463400
"23294";401647;453281
"23298";381400;463400
"23305";402000;453200
"23326";403070;453740
"23327";429800;490100
"23329";425997;487596
"23341";436560;495205
"23343";437724;481051
"23353";437214;481875
"23356";436809;487012
"23357";443894;477328
"23358";435700;494700
"23380";453414;507598
"23401";447610;466227
"23421";443400;480100
"23442";428200;490300
"23462";437918;480050
"23465";443998;482193
"23474";437462;481480
"23475";453504;505113
"23476";430579;487127
"23485";429970;488570
"23500";459400;463300
"23506";459000;464550
"23512";452130;466350
"23513";448280;475030
"23517";445700;452700
"23520";428088;459880
"23522";442301;460836
"23524";431800;458800
"23673";441200;459730
"23674";425238;455780
"23675";431600;458800
"23687";425362;455740
"23708";431800;470400
"23729";433300;454600
"23751";431750;470360
"23755";431309;456398
"23759";444700;455906
"23766";426150;459950
"23774";428529;459735
"23805";437329;456805
"23812";445700;452600
"23819";424500;463600
"23824";420873;498009
"23826";422379;500165
"23856";410100;490900
"23874";423100;500100
"23895";423970;499846
"23923";423200;5e+05
"23925";464572;484161
"23926";480265;480131
"23931";477091;467269
"23932";478664;481219
"23933";469600;486000
"23935";478744;472430
"23946";478762;472346
"23968";466622;484506
"23986";479710;483098
"23989";484300;483300
"24009";488500;475000
"24010";476100;473500
"24039";479068;469586
"24044";488800;474950
"24050";478650;472800
"24051";484300;483500
"24052";468220;458810
"24057";479000;474000
"24059";487209;509341
"24061";503206;482405
"24080";503257;482395
"24081";503360;482910
"24082";488960;508929
"24093";490800;509500
"24115";503296;482450
"24137";502100;491700
"24158";501900;482200
"24164";503400;482500
"24209";510400;476688
"24227";490968;509535
"24248";503310;482310
"24256";503200;482500
"24257";502799;479460
"24263";450824;433319
"24266";449859;417156
"24268";462292;440193
"24272";465800;429000
"24274";467310;431251
"24284";460432;429211
"24300";450100;425600
"24303";450468;432464
"24305";448200;443200
"24326";461956;432018
"24348";458215;432302
"24357";456716;417943
"24372";448300;435000
"24377";461702;432104
"24382";457560;422990
"24383";466402;435802
"24402";450019;429669
